age,education,occupation,hours-per-week,income
34,HS-grad,Armed-Forces,59,>50K
55,Doctorate,Prof-specialty,44,>50K
37,HS-grad,Handlers-cleaners,40,<=50K
59,HS-grad,Craft-repair,41,<=50K
28,Assoc-voc,Craft-repair,60,<=50K
47,HS-grad,Sales,50,>50K
38,Masters,Machine-op-inspct,40,>50K
50,HS-grad,Farming-fishing,41,<=50K
68,12th,Craft-repair,40,>50K
35,Bachelors,Farming-fishing,50,<=50K
56,9th,Other-service,40,<=50K
29,HS-grad,Tech-support,40,<=50K
33,HS-grad,Craft-repair,40,>50K
37,Bachelors,Sales,50,<=50K
49,Bachelors,Exec-managerial,50,>50K
45,10th,Transport-moving,60,<=50K
20,11th,Transport-moving,57,<=50K
27,Bachelors,Exec-managerial,44,>50K
26,11th,Transport-moving,40,<=50K
41,Some-college,Exec-managerial,40,<=50K
68,10th,Craft-repair,71,<=50K
37,Some-college,Sales,60,<=50K
37,Assoc-acdm,Adm-clerical,40,<=50K
58,HS-grad,Sales,40,>50K
48,11th,Craft-repair,40,<=50K
25,Bachelors,Adm-clerical,53,<=50K
22,11th,Adm-clerical,40,<=50K
29,HS-grad,Farming-fishing,43,<=50K
61,12th,Transport-moving,41,<=50K
36,12th,Handlers-cleaners,60,<=50K
37,Bachelors,Exec-managerial,58,>50K
45,5th-6th,Tech-support,24,<=50K
44,HS-grad,Transport-moving,40,<=50K
71,7th-8th,Transport-moving,40,<=50K
31,Masters,Exec-managerial,40,>50K
63,HS-grad,Craft-repair,40,<=50K
49,HS-grad,Exec-managerial,40,>50K
47,Masters,Prof-specialty,40,<=50K
56,Masters,Exec-managerial,40,>50K
31,HS-grad,Handlers-cleaners,40,<=50K
55,Assoc-acdm,Exec-managerial,44,>50K
20,Bachelors,Exec-managerial,40,<=50K
25,HS-grad,Other-service,40,<=50K
19,11th,Handlers-cleaners,36,<=50K
32,Doctorate,Prof-specialty,50,<=50K
34,Bachelors,Exec-managerial,50,>50K
42,HS-grad,Handlers-cleaners,40,<=50K
42,Assoc-acdm,Other-service,39,<=50K
33,HS-grad,Machine-op-inspct,40,>50K
36,HS-grad,Craft-repair,40,>50K
34,11th,Handlers-cleaners,40,<=50K
18,HS-grad,Sales,27,<=50K
34,Masters,Prof-specialty,50,>50K
25,Bachelors,Exec-managerial,45,>50K
19,HS-grad,Priv-house-serv,22,<=50K
59,Prof-school,Prof-specialty,40,>50K
56,Bachelors,Sales,36,>50K
54,HS-grad,Exec-managerial,40,>50K
30,Bachelors,Exec-managerial,45,>50K
40,11th,Sales,31,<=50K
29,Assoc-voc,Armed-Forces,61,<=50K
37,HS-grad,Handlers-cleaners,40,<=50K
38,Some-college,Craft-repair,45,<=50K
